-34.871391,-56.263883,A
-34.864806,-56.276243,A
-34.863398,-56.263411,A
-34.860229,-56.288495,A
-34.851847,-56.289353,A
-34.842056,-56.308579,A
-34.822964,-56.316476,A
-34.82388,-56.351151,A
-34.847762,-56.368704,A
-34.860581,-56.337118,A
-34.88931,-56.320467,A
-34.797453,-56.349821,A
-34.820004,-56.376257,A
-34.884734,-56.261029,A
-34.887832,-56.252189,A
-34.893781,-56.251953,A
-34.89547,-56.26487,A
-34.887797,-56.270492,A
-34.88917,-56.279161,A
-34.883326,-56.270492,A
-34.880509,-56.268572,A
-34.877957,-56.266785,A
-34.878362,-56.269961,A
-34.878292,-56.272858,A
-34.879401,-56.274982,A
-34.88014,-56.278018,A
-34.868433,-56.267949,A
-34.867658,-56.266211,A
-34.864243,-56.26855,A
-34.863539,-56.274215,A
-34.863996,-56.278303,A
-34.855862,-56.270041,A
-34.858609,-56.288924,A
-34.861003,-56.305747,A
-34.864102,-56.324716,A
-34.853291,-56.266716,A
-34.834800,-56.275320,A
-34.819863,-56.307077,A
-34.80534,-56.336603,A
-34.81176,-56.331904,A
-34.81553,-56.329072,A
-34.820075,-56.315875,A
-34.828318,-56.319308,A
-34.835152,-56.313472,A
-34.832651,-56.328514,A
-34.828318,-56.336925,A
-34.821977,-56.314673,A
-34.825077,-56.296048,A
-34.842267,-56.279225,A
-34.894133,-56.292894,A
-34.892795,-56.296241,A
-34.894555,-56.304867,A
-34.898251,-56.314051,A
-34.901269,-56.312984,A
